0.57563,0.56723,0.56933,0.56933,0.56933,0.56933,0.56933,0.56933,0.56513,0.56513
0.60924,0.56933,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513
0.59454,0.56303,0.56303,0.56303,0.56303,0.56513,0.56513,0.56513,0.56513,0.56513
0.65966,0.61345,0.60924,0.59664,0.56303,0.56303,0.56303,0.56513,0.56513,0.56513
0.57983,0.57143,0.57143,0.56513,0.56513,NaN,NaN,NaN,NaN,NaN
0.62815,0.59874,0.56933,0.56933,0.56933,0.56933,0.56513,0.56513,0.56513,0.56513
0.62185,0.58193,0.57773,0.56933,0.56933,0.56933,0.56513,0.56513,0.56513,0.56513
0.65126,0.57353,0.57353,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513
0.65336,0.59874,0.58403,0.57773,0.57143,0.56933,0.56933,0.56513,0.56513,0.56513
0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513,0.56513
