0,2,3,4,5,6,7,8,9
1,0.99999,0.99999,0.99999,0.99999,0.99999,1,1,1
2,0.1459,0.9994,0.99808,0.99875,0.99954,0.99992,0.99994,1
3,0.14399,0.14783,0.88652,0.99826,0.99953,0.99989,0.99989,1
4,0.14196,0.14762,0.37059,0.86624,0.97408,0.9728,0.99431,1
5,0.14007,0.14556,0.16461,0.47951,0.92212,0.9722,0.99378,1
6,0.13862,0.14255,0.15552,0.16897,0.4576,0.70483,0.99367,1
7,0.13626,0.13945,0.14779,0.16721,0.29071,0.64203,0.97369,1
8,0.13529,0.13921,0.13934,0.16275,0.18748,0.47602,0.78117,1
9,0.017914,0.13839,0.13756,0.15831,0.16896,0.23233,0.26356,1
