0.97368,1,1,1,1,1,1,1,1,1
1,1,0.97368,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.92105,0.94737,0.97368,0.97368,1,0.97368,1,1,1,1
0.68421,0.73684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.71053,0.71053,0.71053,0.71053,0.71053,0.71053,0.71053,0.71053,0.71053,0.71053
0.71053,0.71053,0.71053,0.71053,0.97368,0.97368,0.94737,0.94737,0.97368,0.97368
0.94737,0.97368,0.97368,0.94737,0.94737,0.94737,0.97368,0.97368,0.97368,0.97368
1,0.97368,0.97368,1,1,1,0.97368,0.97368,0.97368,0.97368
0.94737,0.94737,0.94737,0.94737,0.94737,0.94737,0.94737,0.94737,0.94737,0.94737
