0.79091,0.82251,0.8355,0.86017,0.92078,0.92857,0.94978,0.94719,0.94762,0.94675,0.94113,0.94026,0.93896,0.93939,0.93853,0.9381,0.93896,0.93853
0.62381,0.79437,0.82294,0.93333,0.93117,0.94502,0.94286,0.94069,0.94069,0.93939,0.94329,0.94242,0.94329,0.93853,0.9381,0.93896,0.93896,0.93853
0.53333,0.52641,0.52468,0.52814,0.58918,0.58701,0.61472,0.61126,0.81602,0.8303,0.83333,0.8316,0.91212,0.91429,0.92035,0.92035,0.9381,0.93853
0.80996,0.88095,0.87056,0.86753,0.85108,0.88095,0.92641,0.91255,0.91169,0.90693,0.90519,0.91342,0.91039,0.91688,0.91558,0.92035,0.9381,0.93853
0.5026,0.50043,0.50346,0.55022,0.54935,0.58831,0.58009,0.61126,0.82597,0.8303,0.83247,0.8316,0.91212,0.91429,0.92035,0.92035,0.9381,0.93853
0.17532,0.18745,0.19134,0.20173,0.30563,0.40823,0.37143,0.65065,0.79264,0.88225,0.92771,0.9381,0.93853,0.93766,0.9381,0.93939,0.9381,0.93853
0.67229,0.75584,0.74069,0.82251,0.83463,0.83463,0.83463,0.87965,0.9026,0.91126,0.91039,0.929,0.92771,0.92987,0.93853,0.93853,0.94113,0.93853
0.80996,0.82251,0.85801,0.91212,0.93074,0.93593,0.9381,0.94242,0.93983,0.93939,0.93896,0.94242,0.94113,0.93983,0.94242,0.94199,0.94113,0.93853
0.7684,0.8368,0.82944,0.85974,0.85108,0.85541,0.87446,0.91169,0.94242,0.93853,0.9368,0.94329,0.94286,0.94156,0.94329,0.94459,0.94113,0.93853
0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853,0.93853
