0.44681,0.48227,0.53191,0.58392,0.53901,0.56501,0.47281,0.48109,0.4208,0.42199,0.4208,0.44208,0.35816,0.32861,0.31442,0.31797,0.29669
0.55556,0.53191,0.526,0.56147,0.52364,0.52246,0.51182,0.47754,0.40071,0.36525,0.37589,0.37707,0.35816,0.31797,0.29669,0.29314,0.29669
0.61702,0.62175,0.48582,0.43735,0.39362,0.35106,0.33806,0.32861,0.31678,0.31797,0.32033,0.32624,0.31678,0.30851,0.29314,0.29905,0.29669
0.36407,0.32979,0.32742,0.3026,0.3026,0.30496,0.30378,0.29551,0.30024,0.3026,0.30142,0.29787,0.29905,0.30615,0.29669,0.29669,0.29669
0.51418,0.50473,0.43853,0.41371,0.42435,0.4078,0.4208,0.43972,0.39835,0.36288,0.32151,0.3026,0.3026,0.29551,0.29314,0.29905,0.29669
0.39243,0.36525,0.33215,0.30851,0.30378,0.31087,0.30733,0.29905,0.29078,0.30024,0.28842,0.2896,0.2896,0.2896,0.29196,0.30024,0.29669
0.62884,0.70567,0.6773,0.70449,0.5721,0.52128,0.49645,0.46217,0.42553,0.43262,0.38889,0.36525,0.35816,0.33097,0.33215,0.3026,0.29669
0.56856,0.58511,0.61348,0.64066,0.59574,0.57447,0.48582,0.51182,0.49173,0.46099,0.34043,0.34634,0.35816,0.34397,0.3227,0.31797,0.29669
0.62884,0.68085,0.69976,0.6974,0.68794,0.67849,0.66667,0.53546,0.513,0.52246,0.46099,0.42553,0.37943,0.3487,0.33215,0.3026,0.29669
0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669,0.29669
